TankNumb,Culture,Temperature,SingleOrClump,RecruitID,Day,PropGrowth
16,WT,27C,s,64,28,32.94341035
16,WT,27C,c,65,28,19.21859185
16,WT,27C,s,66,28,14.25440885
16,WT,27C,s,7,28,
16,WT,27C,s,8,28,-3.24901231
16,WT,27C,c,9,28,-5.420516861
16,WT,27C,s,10,28,23.38504497
16,WT,27C,c,11,28,0.712404293
16,WT,27C,c,12,28,16.24468427
16,WT,27C,c,13,28,
16,WT,27C,s,14,28,3.399725564
16,WT,27C,c,15,28,3.821090672
16,WT,27C,s,16,28,9.911948964
16,WT,27C,s,17,28,14.06806047
16,WT,27C,s,18,28,13.97099349
16,WT,27C,c,19,28,5.740386086
16,WT,27C,s,20,28,21.54627429
16,WT,27C,s,21,28,6.672873599
16,WT,27C,s,36,28,25.84621534
16,WT,27C,s,37,28,-1.277471599
16,WT,27C,s,38a,28,
16,WT,27C,s,38,28,83.12845388
16,WT,27C,s,38b,28,
16,WT,27C,s,39,28,20.28753772
16,WT,27C,c,40a,28,-5.367223487
16,WT,27C,c,40,28,49.60148956
16,WT,27C,s,59,28,7.45666887
16,WT,27C,s,60,28,22.01667313
16,WT,27C,s,69,28,25.50716909
16,WT,27C,s,70,28,24.94984893
16,WT,27C,c,71,28,11.11794971
16,WT,27C,s,72,28,
16,WT,27C,s,67,28,
16,WT,27C,s,68,28,22.52626084
16,WT,27C,s,73,28,25.52212675
16,WT,27C,s,74,28,3.41334961
16,WT,27C,s,75,28,41.73458583
16,WT,27C,s,76,28,2.82373218
16,WT,27C,s,77,28,38.67009769
16,WT,27C,s,78,28,
16,WT,27C,s,79,28,15.34592661
16,WT,27C,s,80,28,
16,WT,27C,s,81,28,-12.37884753
16,WT,27C,s,88,28,13.23990365
16,WT,27C,s,82,28,6.858885232
16,WT,27C,s,83,28,
16,WT,27C,s,84,28,20.42502327
16,WT,27C,s,85,28,
16,WT,27C,s,86,28,32.2695197
16,WT,27C,s,87,28,28.53877945
22,WT,27C,s,1,28,10.64063594
22,WT,27C,s,2,28,-13.09863801
22,WT,27C,c,3,28,19.48596224
22,WT,27C,s,4,28,39.34776555
22,WT,27C,c,5,28,4.407769967
22,WT,27C,s,6,28,20.61528994
22,WT,27C,s,18,28,
22,WT,27C,s,19,28,10.88343235
22,WT,27C,s,20,28,6.257274599
22,WT,27C,c,21,28,9.019908617
22,WT,27C,c,22,28,14.11985411
22,WT,27C,s,23,28,13.58170133
22,WT,27C,s,24,28,39.01924376
22,WT,27C,s,25,28,14.73363276
22,WT,27C,c,26,28,6.788633531
22,WT,27C,s,27,28,
22,WT,27C,s,28,28,
22,WT,27C,s,33,28,2.5629843
22,WT,27C,s,34,28,12.53328141
22,WT,27C,s,35,28,17.22177617
22,WT,27C,s,36,28,6.898235561
22,WT,27C,s,36a,28,14.13143684
22,WT,27C,s,37,28,14.63407377
22,WT,27C,s,38,28,47.7103061
22,WT,27C,s,39,28,43.30210839
22,WT,27C,s,47,28,22.31249356
22,WT,27C,s,48,28,15.85579002
22,WT,27C,s,49,28,17.24396025
22,WT,27C,s,50,28,24.8653753
22,WT,27C,s,51,28,27.45617332
22,WT,27C,s,52,28,
22,WT,27C,s,53,28,26.64223002
22,WT,27C,s,54,28,
22,WT,27C,s,47a,28,69.83315333
22,WT,27C,s,7,28,21.27208964
22,WT,27C,c,8,28,26.93342236
22,WT,27C,s,9,28,32.87020293
22,WT,27C,s,10,28,1.440670857
22,WT,27C,s,11,28,9.765015961
22,WT,27C,s,12,28,29.47809247
22,WT,27C,s,13,28,27.43427765
22,WT,27C,s,14,28,9.077151137
22,WT,27C,s,15,28,12.08023646
22,WT,27C,s,16,28,29.41344086
22,WT,27C,s,17,28,21.92122103
22,WT,27C,c,30,28,35.35128782
22,WT,27C,c,31,28,
22,WT,27C,s,32,28,26.05334489
22,WT,27C,s,40,28,55.84027389
22,WT,27C,c,41,28,55.39184033
22,WT,27C,c,42,28,44.55146189
22,WT,27C,s,43,28,58.27891478
22,WT,27C,s,44,28,38.55217142
22,WT,27C,s,45,28,
22,WT,27C,s,46,28,24.54822597
22,WT,27C,s,55,28,5.025882399
22,WT,27C,s,56,28,
22,WT,27C,s,57,28,33.16843559
22,WT,27C,s,58,28,
22,WT,27C,s,29,28,
22,WT,27C,s,59,28,21.18505652
22,WT,27C,s,60,28,28.26321498
22,WT,27C,s,61,28,43.3216924
22,WT,27C,s,62,28,-9.508996858
22,WT,27C,s,63,28,19.26334429
22,WT,27C,s,64,28,19.28533327
22,WT,27C,s,70,28,21.26452942
22,WT,27C,c,71,28,-7.52267271
22,WT,27C,s,72,28,32.8036041
22,WT,27C,s,73,28,
22,WT,27C,s,74,28,
22,WT,27C,s,65,28,22.00896918
22,WT,27C,s,66,28,28.83328119
22,WT,27C,s,67,28,
22,WT,27C,s,68,28,7.602419503
22,WT,27C,s,69,28,28.20135883
22,WT,27C,s,75,28,2.097516035
22,WT,27C,s,76,28,11.88360527
22,WT,27C,s,77,28,8.722020427
19,SS,31C,s,1,28,-5.060986992
19,SS,31C,s,2,28,2.197613994
19,SS,31C,s,3,28,12.10362605
19,SS,31C,s,4,28,17.63860853
19,SS,31C,s,5,28,-1.14514307
19,SS,31C,s,6,28,13.41069254
19,SS,31C,s,16,28,-4.536225201
19,SS,31C,s,17,28,
19,SS,31C,c,18,28,-38.73442536
19,SS,31C,s,19,28,12.38004699
19,SS,31C,c,20,28,7.08225751
19,SS,31C,s,20a,28,
19,SS,31C,s,21,28,-3.364546035
19,SS,31C,s,22,28,-1.371270805
19,SS,31C,c,35,28,-1.441455145
19,SS,31C,s,36,28,-2.555984884
19,SS,31C,s,37,28,1.467531184
19,SS,31C,s,38,28,-3.547843371
19,SS,31C,s,39,28,-17.7925908
19,SS,31C,s,40,28,11.41846371
19,SS,31C,s,41,28,-10.16471286
19,SS,31C,s,42,28,-14.67452691
19,SS,31C,s,43,28,0.237794344
19,SS,31C,s,44,28,-3.974608396
19,SS,31C,s,50,28,4.387602596
19,SS,31C,s,51,28,-24.01402425
19,SS,31C,s,52,28,-37.28459179
19,SS,31C,s,53,28,-4.582628834
19,SS,31C,s,54,28,-5.866424032
19,SS,31C,c,55,28,4.706722203
19,SS,31C,c,56,28,-10.96796227
19,SS,31C,s,57,28,-4.55495658
19,SS,31C,s,7,28,
19,SS,31C,s,8,28,-5.73899821
19,SS,31C,s,9,28,20.06271688
19,SS,31C,s,10,28,-4.294414055
19,SS,31C,s,11,28,4.374640424
19,SS,31C,s,12,28,-0.427369404
19,SS,31C,s,13,28,5.050123991
19,SS,31C,s,14,28,-10.08402913
19,SS,31C,c,15,28,0.57290746
19,SS,31C,s,23,28,1.146014349
19,SS,31C,s,24,28,13.84309881
19,SS,31C,s,25,28,20.53519095
19,SS,31C,s,26,28,5.84110308
19,SS,31C,s,27,28,-9.682024926
19,SS,31C,c,28,28,-0.282620685
19,SS,31C,s,29,28,4.31338764
19,SS,31C,s,30,28,3.668980403
19,SS,31C,c,31,28,-0.743631257
19,SS,31C,c,33,28,0.955150699
19,SS,31C,s,34,28,-3.891394439
19,SS,31C,c,45,28,-3.226646493
19,SS,31C,s,46,28,-11.11367674
19,SS,31C,s,47,28,-5.270228504
19,SS,31C,s,48,28,-7.22727036
19,SS,31C,s,49,28,-7.833003142
19,SS,31C,s,58,28,14.48880131
19,SS,31C,s,59,28,
19,SS,31C,c,60,28,-11.59318329
19,SS,31C,s,61,28,-0.474457357
19,SS,31C,s,62,28,-2.14010748
19,SS,31C,s,63,28,
19,SS,31C,s,64,28,-21.64947584
19,SS,31C,s,65,28,-3.17104679
19,SS,31C,c,66,28,1.783853562
19,SS,31C,s,67,28,-31.65627412
19,SS,31C,s,68,28,-8.189165746
19,SS,31C,s,69,28,26.43853624
19,SS,31C,s,70,28,-12.68650124
19,SS,31C,s,71,28,
19,SS,31C,s,72,28,-10.86477841
