Obs,Tank,Culture,Temperature,Treatment,SingleOrClump,Time,CellNumbers,CellsPerPolyp,CellsPerMM2,PropCellsPerMM2,log10PropCellsPerMM2Translate
230,3,Wt,27,Wt_27C,s,28,37200,7440,22039,-44.56,1.74
231,22,Wt,27,Wt_27C,s,28,91200,18240,46516,17.01,2.07
232,16,Wt,27,Wt_27C,s,28,52300,10460,21975,-44.72,1.74
233,12,31mix,27,31mix_27C,s,28,57067,14267,37326,120.44,2.34
234,35,31mix,27,31mix_27C,s,28,39300,13100,31192,84.22,2.27
235,20,31mix,27,31mix_27C,s,28,,,,,2.00
236,30,31mix,32.5,31mix_32.5C,s,28,6444,1289,3181,-84,1.21
237,27,31mix,32.5,31mix_32.5C,s,28,9244,3081,6417,-67.73,1.51
238,33,31mix,32.5,31mix_32.5C,s,28,1822,911,1576,-92.07,0.90
239,3,Wt,27,Wt_27C,s,28,29333,9778,15718,-60.46,1.60
240,22,Wt,27,Wt_27C,s,28,46400,7733,11391,-71.35,1.46
243,35,31mix,27,31mix_27C,s,28,42700,10675,32185,90.08,2.28
244,20,31mix,27,31mix_27C,s,28,32800,10933,28233,66.74,2.22
245,30,31mix,32.5,31mix_32.5C,s,28,4978,996,2449,-87.68,1.09
246,27,31mix,32.5,31mix_32.5C,s,28,7467,1244,3446,-82.67,1.24
247,33,31mix,32.5,31mix_32.5C,s,28,6489,1622,3769,-81.04,1.28
248,3,Wt,27,Wt_27C,s,28,49800,9960,21800,-45.16,1.74
249,22,Wt,27,Wt_27C,s,28,95800,23950,59362,49.32,2.17
250,16,Wt,27,Wt_27C,s,28,62800,15700,31318,-21.22,1.90
251,12,31mix,27,31mix_27C,s,28,40600,13533,35635,110.46,2.32
256,33,31mix,32.5,31mix_32.5C,s,28,2800,560,1750,-91.2,0.95
257,3,Wt,27,Wt_27C,s,28,12622,,,,2.00
258,22,Wt,27,Wt_27C,s,28,34720,5787,10795,-72.85,1.44
259,16,Wt,27,Wt_27C,s,28,58400,14600,22520,-43.35,1.75
261,35,31mix,27,31mix_27C,s,28,56533,9422,27683,63.49,2.21
262,20,31mix,27,31mix_27C,s,28,14622,4874,13643,-19.43,1.91
263,30,31mix,32.5,31mix_32.5C,s,28,10133,2533,5399,-72.85,1.44
267,22,Wt,27,Wt_27C,s,28,21511,21511,16096,-59.51,1.61
268,16,Wt,27,Wt_27C,s,28,22114,7371,11904,-70.06,1.48
269,12,31mix,27,31mix_27C,s,28,51867,12967,36700,116.74,2.34
270,35,31mix,27,31mix_27C,s,28,20286,4057,8253,-51.26,1.69
271,20,31mix,27,31mix_27C,s,28,23486,7829,15386,-9.14,1.96
273,27,31mix,32.5,31mix_32.5C,s,28,12711,3178,8451,-57.5,1.63
275,30,31mix,32.5,31mix_32.5C,s,28,18900,6300,17984,-9.56,1.96
276,27,31mix,32.5,31mix_32.5C,s,28,3156,1052,3110,-84.36,1.20
278,30,31mix,32.5,31mix_32.5C,s,28,6844,1369,2354,-88.16,1.08
280,33,31mix,32.5,31mix_32.5C,s,28,756,189,499,-97.49,0.41
282,28,Wt,32.5,Wt_32.5C,s,28,1289,258,464,-98.68,0.15
283,10,Wt,32.5,Wt_32.5C,s,28,2044,341,457,-98.7,0.14
284,34,31mix,31,31mix_31C,s,28,9956,1991,6717,-67.59,1.51
285,31,31mix,31,31mix_31C,s,28,4978,4978,6227,-69.95,1.48
286,19,31mix,31,31mix_31C,s,28,8400,2800,9037,-56.39,1.64
287,9,Wt,31,Wt_31C,s,28,29133,5827,17292,-32.67,1.83
288,18,Wt,31,Wt_31C,s,28,21667,5417,14911,-41.95,1.76
289,29,Wt,31,Wt_31C,s,28,26933,6733,14339,-44.17,1.75
290,24,Wt,32.5,Wt_32.5C,s,28,13511,3378,6672,-81,1.28
291,28,Wt,32.5,Wt_32.5C,s,28,667,222,375,-98.93,0.06
292,10,Wt,32.5,Wt_32.5C,s,28,3378,,,,2.00
293,34,31mix,31,31mix_31C,s,28,8756,4378,12964,-37.44,1.80
294,31,31mix,31,31mix_31C,s,28,7200,7200,10935,-47.24,1.72
295,19,31mix,31,31mix_31C,s,28,11422,3807,10026,-51.62,1.69
296,9,Wt,31,Wt_31C,s,28,37600,7520,21185,-17.52,1.92
298,29,Wt,31,Wt_31C,s,28,10711,10711,10613,-58.68,1.62
299,24,Wt,32.5,Wt_32.5C,s,28,2844,,,,2.00
300,28,Wt,32.5,Wt_32.5C,s,28,3022,604,1098,-96.87,0.51
302,34,31mix,31,31mix_31C,s,28,2844,1422,3672,-82.28,1.25
303,31,31mix,31,31mix_31C,s,28,12089,3022,6230,-69.94,1.48
304,19,31mix,31,31mix_31C,s,28,14800,3700,7952,-61.63,1.58
305,9,Wt,31,Wt_31C,s,28,28000,7000,13390,-47.87,1.72
306,18,Wt,31,Wt_31C,s,28,6044,2015,4890,-80.96,1.28
307,29,Wt,31,Wt_31C,s,28,14267,3567,10404,-59.49,1.61
308,24,Wt,32.5,Wt_32.5C,s,28,8400,1400,3229,-90.8,0.97
309,28,Wt,32.5,Wt_32.5C,s,28,1067,533,1409,-95.99,0.61
310,10,Wt,32.5,Wt_32.5C,s,28,3467,693,1245,-96.45,0.56
312,31,31mix,31,31mix_31C,s,28,12711,2119,6657,-67.88,1.51
314,9,Wt,31,Wt_31C,s,28,26000,6500,14393,-43.96,1.75
316,29,Wt,31,Wt_31C,s,28,28667,14333,21833,-14.99,1.93
317,24,Wt,32.5,Wt_32.5C,s,28,17556,4389,9049,-74.23,1.41
318,28,Wt,32.5,Wt_32.5C,s,28,1511,756,1839,-94.76,0.73
319,10,Wt,32.5,Wt_32.5C,s,28,3289,548,873,-97.51,0.41
320,34,31mix,31,31mix_31C,s,28,15422,15422,12024,-41.98,1.76
321,31,31mix,31,31mix_31C,s,28,13911,4637,10530,-49.19,1.71
322,19,31mix,31,31mix_31C,s,28,3156,3156,3742,-81.94,1.26
323,9,Wt,31,Wt_31C,s,28,2622,2622,3170,-87.66,1.09
324,18,Wt,31,Wt_31C,s,28,84400,16880,19701,-23.3,1.89
325,29,Wt,31,Wt_31C,s,28,53067,53067,44833,74.55,2.24
326,24,Wt,32.5,Wt_32.5C,s,28,1689,563,1560,-95.56,0.66
327,28,Wt,32.5,Wt_32.5C,s,28,933,156,322,-99.08,0.00
328,10,Wt,32.5,Wt_32.5C,s,28,2933,733,1351,-96.15,0.59
329,34,31mix,31,31mix_31C,s,28,16178,5393,13754,-33.63,1.82
330,31,31mix,31,31mix_31C,s,28,12711,6356,12671,-38.86,1.79
331,19,31mix,31,31mix_31C,s,28,9600,4800,8035,-61.23,1.59
332,9,Wt,31,Wt_31C,s,28,45000,7500,17614,-31.42,1.84
333,18,Wt,31,Wt_31C,s,28,38600,9650,12919,-49.7,1.70
334,29,Wt,31,Wt_31C,s,28,17156,4289,10483,-59.19,1.61
335,24,Wt,32.5,Wt_32.5C,s,28,21822,3637,5908,-83.17,1.23
336,28,Wt,32.5,Wt_32.5C,s,28,756,126,373,-98.94,0.06
337,10,Wt,32.5,Wt_32.5C,s,28,1511,378,907,-97.42,0.42
338,34,31mix,31,31mix_31C,s,28,28267,7067,22445,8.3,2.03
339,31,31mix,31,31mix_31C,s,28,23371,7790,17196,-17.03,1.92
340,19,31mix,31,31mix_31C,s,28,6933,2311,7894,-61.91,1.58
341,9,Wt,31,Wt_31C,s,28,11467,5733,14161,-44.87,1.74
342,18,Wt,31,Wt_31C,s,28,36960,9240,12825,-50.07,1.70
343,29,Wt,31,Wt_31C,s,28,16578,5526,12266,-52.24,1.68
345,28,Wt,32.5,Wt_32.5C,s,28,711,237,642,-98.17,0.28
346,10,Wt,32.5,Wt_32.5C,s,28,3467,693,1266,-96.39,0.57
347,24,Wt,32.5,Wt_32.5C,s,28,8978,1496,2431,-93.08,0.85
348,28,Wt,32.5,Wt_32.5C,s,28,933,311,409,-98.84,0.09
349,10,Wt,32.5,Wt_32.5C,s,28,978,326,468,-98.67,0.15
