TankNumb,Culture,Temperature,SingleOrClump,RecruitID,RecruitID2,Day,Area,Polyps
35,31mix,27C,s,18,35_18,0,0.872929,2
35,31mix,27C,s,19,35_19,0,1.182338,3
35,31mix,27C,s,20,35_20,0,1.098336,3
35,31mix,27C,s,21,35_21,0,5.000577,8
35,31mix,27C,c,22,35_22,0,2.267244,5
35,31mix,27C,s,35,35_35,0,0.986686,2
35,31mix,27C,s,36,35_36,0,1.047778,3
35,31mix,27C,s,37,35_37,0,0.947713,3
35,31mix,27C,s,38,35_38,0,0.960353,3
35,31mix,27C,s,39,35_39,0,1.122826,3
35,31mix,27C,s,40,35_40,0,1.010648,3
35,31mix,27C,s,41,35_41,0,1.204984,3
35,31mix,27C,c,54,35_54,0,2.763089,6
35,31mix,27C,c,55,35_55,0,2.254078,5
35,31mix,27C,s,56,35_56,0,1.164431,3
35,31mix,27C,c,57,35_57,0,2.954264,8
35,31mix,27C,s,58,35_58,0,3.002453,8
35,31mix,27C,c,59,35_59,0,3.185728,8
35,31mix,27C,s,60,35_60,0,0.681753,2
35,31mix,27C,c,61,35_61,0,8.006453,14
35,31mix,27C,s,62,35_62,0,1.20788,3
35,31mix,27C,s,63,35_63,0,2.18693,5
35,31mix,27C,s,64,35_64,0,1.222363,3
35,31mix,27C,s,65,35_65,0,0.342062,1
35,31mix,27C,s,66,35_66,0,2.353615,5
35,31mix,27C,s,67,35_67,0,0.385774,1
35,31mix,27C,s,68,35_68,0,0.958246,3
35,31mix,27C,s,69,35_69,0,1.115716,3
35,31mix,27C,s,70,35_70,0,0.945343,3
35,31mix,27C,s,89,35_89,0,0.693603,2
35,31mix,27C,s,90,35_90,0,2.298053,5
35,31mix,27C,s,91,35_91,0,1.026448,3
35,31mix,27C,c,92,35_92,0,2.503712,6
35,31mix,27C,s,94,35_94,0,1.538619,4
35,31mix,27C,c,95,35_95,0,2.215369,4
35,31mix,27C,s,96,35_96,0,2.054213,4
35,31mix,27C,s,97,35_97,0,1.088067,2
35,31mix,27C,c,98,35_98,0,2.181926,6
35,31mix,27C,c,99,35_99,0,3.759254,7
35,31mix,27C,s,100,35_100,0,0.973783,3
35,31mix,27C,c,101,35_101,0,2.493705,5
35,31mix,27C,s,102,35_102,0,1.827488,4
35,31mix,27C,s,103,35_103,0,3.308439,6
35,31mix,27C,s,112,35_112,0,0.804464,1
35,31mix,27C,c,113,35_113,0,7.160384,13
35,31mix,27C,s,114,35_114,0,0.602492,1
35,31mix,27C,s,115,35_115,0,1.107553,3
35,31mix,27C,s,116,35_116,0,1.274239,3
35,31mix,27C,c,117,35_117,0,2.212999,6
35,31mix,27C,s,124,35_124,0,1.189447,4
35,31mix,27C,s,125,35_125,0,0.711246,3
35,31mix,27C,s,126,35_126,0,0.778921,4
35,31mix,27C,s,104,35_104,0,1.634996,3
35,31mix,27C,s,105,35_105,0,0.922961,2
35,31mix,27C,s,106,35_106,0,1.163378,3
35,31mix,27C,s,107,35_107,0,1.856191,4
35,31mix,27C,s,108,35_108,0,0.761805,2
35,31mix,27C,s,109,35_109,0,1.204984,3
35,31mix,27C,s,110,35_110,0,0.754958,3
35,31mix,27C,s,111,35_111,0,0.997745,3
35,31mix,27C,s,118,35_118,0,0.465299,1
35,31mix,27C,s,119,35_119,0,1.76034,5
35,31mix,27C,c,120,35_120,0,1.623673,2
35,31mix,27C,s,121,35_121,0,0.787084,1
35,31mix,27C,s,122,35_122,0,0.55562,1
35,31mix,27C,s,123,35_123,0,0.657264,2
3,Wtmix,27C,s,26,3_26,0,1.929857,3
3,Wtmix,27C,c,27,3_27,0,2.37202,6
3,Wtmix,27C,s,28,3_28,0,2.347799,5
3,Wtmix,27C,c,29,3_29,0,3.46034,5
3,Wtmix,27C,s,30,3_30,0,1.964035,3
3,Wtmix,27C,s,31,3_31,0,1.294196,2
3,Wtmix,27C,s,41,3_41,0,1.156676,2
3,Wtmix,27C,c,39,3_39,0,5.74651,9
3,Wtmix,27C,s,40,3_40,0,1.89514,4
3,Wtmix,27C,s,42,3_42,0,2.168835,4
3,Wtmix,27C,s,43,3_43,0,1.06975,1
3,Wtmix,27C,s,44,3_44,0,3.889047,4
3,Wtmix,27C,s,45,3_45,0,2.335958,4
3,Wtmix,27C,s,46,3_46,0,7.190068,4
3,Wtmix,27C,s,47,3_47,0,2.175294,3
3,Wtmix,27C,s,55,3_55,0,1.156676,2
3,Wtmix,27C,s,53,3_53,0,1.704603,3
3,Wtmix,27C,s,54,3_54,0,2.130081,5
3,Wtmix,27C,s,56,3_56,0,1.12788,2
3,Wtmix,27C,s,57,3_57,0,0.954029,2
3,Wtmix,27C,s,58,3_58,0,1.269168,3
3,Wtmix,27C,s,58a,3_58a,0,0.606865,2
3,Wtmix,27C,s,59,3_59,0,1.896486,4
3,Wtmix,27C,s,60,3_60,0,2.113127,4
3,Wtmix,27C,s,61,3_61,0,2.189557,3
3,Wtmix,27C,s,62,3_62,0,2.056343,3
3,Wtmix,27C,c,63,3_63,0,4.367003,7
3,Wtmix,27C,s,64,3_64,0,1.318148,2
3,Wtmix,27C,s,65,3_65,0,1.306306,3
3,Wtmix,27C,s,66,3_66,0,2.471325,3
3,Wtmix,27C,s,1,3_1,0,1.820863,4
3,Wtmix,27C,s,2,3_2,0,1.531829,3
3,Wtmix,27C,c,3,3_3,0,2.829792,4
3,Wtmix,27C,c,4,3_4,0,3.765252,7
3,Wtmix,27C,s,5,3_5,0,1.318955,4
3,Wtmix,27C,s,86,3_86,0,1.068405,1
3,Wtmix,27C,s,6,3_6,0,1.707295,5
