TankNumb,Culture,Temperature,SingleOrClump,RecruitID,RecruitID2,Day,Area,Polyps,PropGrowthArea,PropGrowthPolyps,Log10PropGrowthPolypsTranslate
3,WT,27C,s,56,3_56,28,1.216307,3,7.840107104,50,2.135813898
3,WT,27C,s,57,3_57,28,1.099126,3,15.20886682,50,2.135813898
3,WT,27C,s,58,3_58,28,1.749807,3,37.87040014,0,1.938090651
3,WT,27C,s,58a,3_58a,28,0.709666,2,16.93968181,0,1.938090651
3,WT,27C,s,59,3_59,28,,,,,
3,WT,27C,s,60,3_60,28,2.260924,4,6.994231771,0,1.938090651
3,WT,27C,s,61,3_61,28,2.767829,5,26.41045654,66.66666667,2.18577143
3,WT,27C,s,62,3_62,28,3.430096,3,66.80563505,0,1.938090651
3,WT,27C,c,63,3_63,28,5.081945,11,16.37145658,57.14285714,2.157931431
3,WT,27C,missedt28,65,3_65,28,,,,,
3,WT,27C,s,1,3_1,28,,,,,
3,WT,27C,s,2,3_2,28,1.756127,3,14.642496,0,1.938090651
3,WT,27C,c,3,3_3,28,2.945838,6,4.100866777,50,2.135813898
3,WT,27C,c,4,3_4,28,3.705799,7,-1.57899126,0,1.938090651
3,WT,27C,s,5,3_5,28,1.149685,4,-12.83364482,0,1.938090651
3,WT,27C,s,86,3_86,28,0.67438,1,-36.8797413,0,1.938090651
3,WT,27C,s,6,3_6,28,1.587071,5,-7.041782469,0,1.938090651
3,WT,27C,s,7,3_7,28,1.878574,4,-19.91229708,33.33333333,2.079353551
3,WT,27C,s,8,3_8,28,2.639325,4,30.29437769,0,1.938090651
3,WT,27C,c,9,3_9,28,7.281778,10,8.27442888,25,2.048108713
3,WT,27C,s,10,3_10,28,1.201034,3,-16.98612166,0,1.938090651
3,WT,27C,s,11,3_11,28,1.196821,4,-14.39514018,33.33333333,2.079353551
3,WT,27C,s,12,3_12,28,1.296095,4,11.25097531,33.33333333,2.079353551
3,WT,27C,s,13,3_13,28,2.805484,6,14.8218195,50,2.135813898
3,WT,27C,c,24,3_24,28,3.751091,6,5.850384633,0,1.938090651
3,WT,27C,s,25,3_25,28,1.842235,4,13.78683317,0,1.938090651
3,WT,27C,s,18,3_18,28,1.789043,4,14.37431275,33.33333333,2.079353551
3,WT,27C,s,17,3_17,28,2.720166,5,12.31732001,0,1.938090651
3,WT,27C,c,16,3_16,28,4.113692,7,4.380741656,40,2.10282558
3,WT,27C,c,14,3_14,28,4.160828,7,-5.147288801,16.66666667,2.014440529
3,WT,27C,s,15,3_15,28,3.836936,5,14.08888972,0,1.938090651
3,WT,27C,c,19,3_19,28,4.047597,4,-44.32769549,-42.85714286,1.642040335
3,WT,27C,s,20,3_20,28,7.273088,9,119.0176576,80,2.221972816
3,WT,27C,s,21,3_21,28,1.88384,4,-54.29681596,0,1.938090651
3,WT,27C,s,23,3_23,28,,,,,
3,WT,27C,s,32,3_32,28,1.929659,5,-3.587864713,66.66666667,2.18577143
3,WT,27C,s,33,3_33,28,1.332961,4,-23.77883895,33.33333333,2.079353551
3,WT,27C,s,34,3_34,28,1.786936,6,-0.7691086,50,2.135813898
3,WT,27C,c,37,3_37,28,5.401361,9,-3.62713169,12.5,1.99657421
3,WT,27C,s,35,3_35,28,2.418657,4,-0.165314022,33.33333333,2.079353551
3,WT,27C,s,36,3_36,28,3.261303,6,22.88769425,20,2.028222562
3,WT,27C,s,38,3_38,28,,,,,
3,WT,27C,s,48,3_48,28,1.796153,4,16.26270544,33.33333333,2.079353551
3,WT,27C,s,49,3_49,28,2.080282,4,12.62184384,33.33333333,2.079353551
3,WT,27C,s,50,3_50,28,1.599711,5,10.50406556,66.66666667,2.18577143
3,WT,27C,s,51,3_51,28,1.687925,5,11.99597911,25,2.048108713
3,WT,27C,s,52,3_52,28,1.967842,4,27.90827824,0,1.938090651
3,WT,27C,s,67,3_67,28,,,,,
3,WT,27C,s,70,3_70,28,,,,,
3,WT,27C,s,69,3_69,28,2.369678,2,19.05034152,0,1.938090651
3,WT,27C,s,68,3_68,28,2.538998,6,11.45845634,50,2.135813898
3,WT,27C,s,71,3_71,28,,,,,
3,WT,27C,s,72,3_72,28,1.047251,3,4.285224921,0,1.938090651
3,WT,27C,c,73,3_73,28,6.169748,10,15.73149796,11.11111111,1.990451618
3,WT,27C,c,75,3_75,28,4.07551,8,2.40932067,14.28571429,2.004321374
3,WT,27C,s,76,3_76,28,1.866197,3,3.32487148,0,1.938090651
3,WT,27C,s,77,3_77,28,2.459473,3,17.29347871,0,1.938090651
3,WT,27C,s,78,3_78,28,2.226429,6,12.24652978,50,2.135813898
3,WT,27C,s,82,3_82,28,3.172299,6,19.12505412,20,2.028222562
3,WT,27C,s,83,3_83,28,,,,,
3,WT,27C,s,84,3_84,28,2.28436,5,17.84138697,66.66666667,2.18577143
3,WT,27C,c,85,3_85,28,1.844605,3,-17.64898903,0,1.938090651
3,WT,27C,s,79,3_79,28,0.762858,3,-31.68945601,0,1.938090651
3,WT,27C,s,80,3_80,28,,,,,
3,WT,27C,s,81,3_81,28,1.216307,3,-8.752315313,0,1.938090651
3,WT,27C,s,28,3_28,72,3.466529,5,47.65016085,25,2.048108713
3,WT,27C,s,64,3_64,72,,,,,
3,WT,27C,s,66,3_66,72,3.958749,6,60.18730843,100,2.271177548
3,WT,27C,s,22,3_22,72,2.538067,4,27.28731218,33.33333333,2.079353551
3,WT,27C,s,74,3_74,72,1.005969,2,-0.198418801,100,2.271177548
3,WT,27C,s,83a,3_83a,72,,,,,
3,WT,27C,s,26,3_26,72,,,,,
3,WT,27C,c,27,3_27,72,,,,,
3,WT,27C,c,29,3_29,72,,,,,
3,WT,27C,s,30,3_30,72,1.66289,3,-15.33297523,0,1.938090651
3,WT,27C,s,31,3_31,72,1.664505,3,28.61305397,50,2.135813898
3,WT,27C,s,41,3_41,72,,,,,
3,WT,27C,c,39,3_39,72,6.523459,11,13.52036279,22.22222222,2.037173449
3,WT,27C,s,40,3_40,72,,,,,
3,WT,27C,s,42,3_42,72,,,,,
3,WT,27C,s,43,3_43,72,,,,,
3,WT,27C,s,44,3_44,72,4.642044,6,19.3619928,50,2.135813898
3,WT,27C,s,45,3_45,72,,,,,
3,WT,27C,s,46,3_46,72,,,,,
3,WT,27C,s,47,3_47,72,,,,,
3,WT,27C,s,55,3_55,72,1.524024,2,31.75893682,0,1.938090651
3,WT,27C,s,53,3_53,72,1.524293,4,-10.57782956,33.33333333,2.079353551
3,WT,27C,s,54,3_54,72,,,,,
3,WT,27C,s,56,3_56,72,,,,,
3,WT,27C,s,57,3_57,72,,,,,
3,WT,27C,s,58,3_58,72,,,,,
3,WT,27C,s,58a,3_58a,72,0.977173,2,61.01983143,0,1.938090651
3,WT,27C,s,59,3_59,72,,,,,
3,WT,27C,s,60,3_60,72,,,,,
3,WT,27C,s,61,3_61,72,4.107034,5,87.57374209,66.66666667,2.18577143
3,WT,27C,s,62,3_62,72,3.481331,3,69.2971941,0,1.938090651
3,WT,27C,c,63,3_63,72,,,,,
3,WT,27C,missedt28,65,3_65,72,1.767039,4,35.26991379,33.33333333,2.079353551
3,WT,27C,s,1,3_1,72,,,,,
3,WT,27C,s,2,3_2,72,,,,,
3,WT,27C,c,3,3_3,72,,,,,
3,WT,27C,c,4,3_4,72,4.571534,7,21.41375929,0,1.938090651
3,WT,27C,s,5,3_5,72,,,,,
3,WT,27C,s,86,3_86,72,,,,,
3,WT,27C,s,6,3_6,72,,,,,
3,WT,27C,s,7,3_7,72,2.59808,4,10.76181146,33.33333333,2.079353551
3,WT,27C,s,8,3_8,72,3.561259,5,75.80708143,25,2.048108713
3,WT,27C,c,9,3_9,72,,,,,
3,WT,27C,s,10,3_10,72,,,,,
3,WT,27C,s,11,3_11,72,1.817095,4,29.97111745,33.33333333,2.079353551
3,WT,27C,s,12,3_12,72,1.907789,4,63.75604175,33.33333333,2.079353551
3,WT,27C,s,13,3_13,72,3.556415,5,45.55564787,25,2.048108713
3,WT,27C,c,24,3_24,72,,,,,
3,WT,27C,s,25,3_25,72,,,,,
3,WT,27C,s,18,3_18,72,2.021895,4,29.26064442,33.33333333,2.079353551
3,WT,27C,s,17,3_17,72,2.902455,5,19.84414445,0,1.938090651
3,WT,27C,c,16,3_16,72,5.453977,7,38.38910746,40,2.10282558
3,WT,27C,c,14,3_14,72,5.094972,7,16.14801373,16.66666667,2.014440529
3,WT,27C,s,15,3_15,72,,,,,
3,WT,27C,c,19,3_19,72,,,,,
3,WT,27C,s,20,3_20,72,4.514481,6,35.94652697,20,2.028222562
3,WT,27C,s,21,3_21,72,,,,,
3,WT,27C,s,23,3_23,72,,,,,
3,WT,27C,s,32,3_32,72,2.483166,5,24.06717266,66.66666667,2.18577143
3,WT,27C,s,33,3_33,72,1.510568,4,-13.6229441,33.33333333,2.079353551
3,WT,27C,s,34,3_34,72,2.62257,6,45.6347395,50,2.135813898
3,WT,27C,c,37,3_37,72,,,,,
3,WT,27C,s,35,3_35,72,3.290794,5,35.83380595,66.66666667,2.18577143
3,WT,27C,s,36,3_36,72,,,,,
3,WT,27C,s,38,3_38,72,,,,,
3,WT,27C,s,48,3_48,72,,,,,
3,WT,27C,s,49,3_49,72,2.580588,4,39.70729869,33.33333333,2.079353551
3,WT,27C,s,50,3_50,72,,,,,
3,WT,27C,s,51,3_51,72,,,,,
3,WT,27C,s,52,3_52,72,1.931471,5,25.54419007,25,2.048108713
3,WT,27C,s,67,3_67,72,,,,,
3,WT,27C,s,70,3_70,72,,,,,
3,WT,27C,s,69,3_69,72,2.598888,2,30.56563127,0,1.938090651
3,WT,27C,s,68,3_68,72,,,,,
3,WT,27C,s,71,3_71,72,,,,,
3,WT,27C,s,72,3_72,72,1.341023,3,33.53903236,0,1.938090651
3,WT,27C,c,73,3_73,72,,,,,
3,WT,27C,c,75,3_75,72,,,,,
3,WT,27C,s,76,3_76,72,,,,,
3,WT,27C,s,77,3_77,72,2.122815,3,1.238092876,0,1.938090651
3,WT,27C,s,78,3_78,72,,,,,
3,WT,27C,s,82,3_82,72,,,,,
3,WT,27C,s,83,3_83,72,,,,,
3,WT,27C,s,84,3_84,72,,,,,
3,WT,27C,c,85,3_85,72,,,,,
3,WT,27C,s,79,3_79,72,,,,,
3,WT,27C,s,80,3_80,72,,,,,
3,WT,27C,s,81,3_81,72,1.658315,4,24.40724606,33.33333333,2.079353551
9,WT,31C,s,17,9_17,0,1.588314,4,,,
9,WT,31C,s,4,9_4,0,1.416301,3,,,
9,WT,31C,s,6,9_6,0,0.956793,4,,,
9,WT,31C,s,39,9_39,0,1.409334,4,,,
9,WT,31C,s,58,9_58,0,1.221244,4,,,
9,WT,31C,s,68,9_68,0,1.338868,2,,,
9,WT,31C,s,43,9_43,0,0.65376,3,,,
9,WT,31C,s,80,9_80,0,1.057269,2,,,
9,WT,31C,s,74,9_74,0,1.326007,3,,,
9,WT,31C,s,18,9_18,0,1.166854,4,,,
9,WT,31C,s,51,9_51,0,1.365661,3,,,
9,WT,31C,s,71,9_71,0,0.753163,1,,,
9,WT,31C,s,86,9_86,0,0.94554,4,,,
9,WT,31C,s,1,9_1,0,1.433448,3,,,
9,WT,31C,s,2,9_2,0,2.532247,4,,,
9,WT,31C,s,3,9_3,0,1.590458,4,,,
9,WT,31C,s,5,9_5,0,2.291374,4,,,
9,WT,31C,s,15,9_15,0,1.235445,3,,,
9,WT,31C,s,16,9_16,0,1.14274,3,,,
9,WT,31C,s,21,9_21,0,1.73032,3,,,
9,WT,31C,s,19,9_19,0,1.210259,3,,,
9,WT,31C,s,20,9_20,0,2.030674,4,,,
9,WT,31C,c,22,9_22,0,2.555557,5,,,
9,WT,31C,s,24,9_24,0,0.777277,1,,,
9,WT,31C,c,23,9_23,0,4.16477,6,,,
9,WT,31C,s,25,9_25,0,1.644848,4,,,
9,WT,31C,c,17a,9_17a,0,2.923431,5,,,
9,WT,31C,c,31,9_31,0,2.588245,6,,,
9,WT,31C,s,32,9_32,0,2.61879,4,,,
9,WT,31C,s,33,9_33,0,1.635471,2,,,
9,WT,31C,s,35,9_35,0,1.3386,1,,,
9,WT,31C,s,34,9_34,0,2.991486,4,,,
9,WT,31C,c,37,9_37,0,6.459359,8,,,
9,WT,31C,s,38,9_38,0,2.500363,4,,,
9,WT,31C,s,36,9_36,0,0.723155,1,,,
9,WT,31C,s,42,9_42,0,0.734944,1,,,
9,WT,31C,s,40,9_40,0,1.459706,2,,,
9,WT,31C,s,41,9_41,0,1.22955,2,,,
9,WT,31C,c,44,9_44,0,1.509542,3,,,
9,WT,31C,s,45,9_45,0,0.961616,3,,,
9,WT,31C,s,46,9_46,0,1.78605,4,,,
9,WT,31C,s,55,9_55,0,1.601711,3,,,
9,WT,31C,s,56,9_56,0,1.358159,4,,,
9,WT,31C,s,57,9_57,0,0.550605,2,,,
9,WT,31C,s,59,9_59,0,0.971262,2,,,
9,WT,31C,s,60,9_60,0,2.03764,4,,,
9,WT,31C,s,61,9_61,0,2.563595,6,,,
9,WT,31C,c,62,9_62,0,3.199135,8,,,
